alpha,label,count,mean_PSNR,mean_SSIM,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,mean_dSSIM,positive_ratio,severe_loss_count,severe_loss_per_600,worst_dPSNR,best_dPSNR
0.0,A0,500,37.40752252578736,0.9937879600524903,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.125,alpha0.125,500,37.489448165893556,0.9940090039968491,0.08192564010620117,0.36977101135253904,-0.056976287841796876,0.00022104394435882568,0.59,144,172.79999999999998,-2.889209747314453,2.3587646484375
0.25,alpha0.25,500,37.28158846664429,0.993941432595253,-0.1259340591430664,0.6396518402099609,-0.6031334838867187,0.00015347254276275635,0.484,219,262.8,-5.466602325439453,4.676078796386719
0.375,WD0375,500,36.85276036834717,0.9935969959497452,-0.5547621574401855,0.7690064086914062,-1.4421048583984375,-0.00019096410274505615,0.368,287,344.4,-7.5799102783203125,6.3427734375
0.5,alpha0.5,500,36.266050426483154,0.9929786406755448,-1.1414720993041991,0.7107362823486328,-2.4109545135498047,-0.0008093193769454956,0.3,329,394.8,-9.327615737915039,9.486778259277344
0.75,alpha0.75,500,34.8205157661438,0.9909090478420257,-2.587006759643555,-0.033181640625,-4.39705989074707,-0.0028789122104644774,0.19,398,477.6,-12.07746696472168,12.717670440673828
1.0,WDMamba,500,33.261407947540285,0.9876767929792404,-4.1461145782470705,-1.3443426818847657,-6.222535385131836,-0.006111167073249817,0.13,430,516.0,-14.437946319580078,10.49730110168457
