alpha,label,count,mean_PSNR,mean_SSIM,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,mean_dSSIM,positive_ratio,severe_loss_count,severe_loss_per_600,worst_dPSNR,best_dPSNR
0.0,A0,55,22.752483437278055,0.8010353792797436,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.125,alpha0.125,55,23.021275225552646,0.8061652161858298,0.2687917882745916,0.20618790846604568,0.41114572378305286,0.005129836906086315,0.9636363636363636,0,0.0,-0.05134391784667969,0.7122707366943359
0.25,alpha0.25,55,23.176726601340555,0.8080381680618632,0.4242431640625,0.3110970717210036,0.6734852424034705,0.007002788782119751,0.9272727272727272,2,21.818181818181817,-0.23378562927246094,1.3319988250732422
0.375,WD0375,55,23.207870934226296,0.8066224065693942,0.4553874969482422,0.31508166973407453,0.760563483605018,0.005587027289650657,0.8,5,54.54545454545455,-0.7968025207519531,1.8932361602783203
0.5,alpha0.5,55,23.11400094465776,0.8018947926434603,0.3615175073797053,0.22663776691143328,0.6635805276724008,0.0008594133637168191,0.7090909090909091,13,141.8181818181818,-1.5424060821533203,2.3498058319091797
0.75,alpha0.75,55,22.59566879272461,0.7826614369045605,-0.1568146445534446,-0.1761800325833834,-0.022171460665189303,-0.018373942375183104,0.4,27,294.54545454545456,-3.249553680419922,3.1252384185791016
1.0,WDMamba,55,21.765205972844903,0.7515451122413982,-0.9872774644331499,-0.7948580521803635,-1.143971663254958,-0.04949026703834534,0.21818181818181817,41,447.2727272727273,-4.935877799987793,3.899205207824707
