alpha,label,count,mean_PSNR,mean_SSIM,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,mean_dSSIM,positive_ratio,severe_loss_count,severe_loss_per_600,worst_dPSNR,best_dPSNR
0.0,A0,55,26.104786612770774,0.9296100865710866,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.125,alpha0.125,55,26.19107544638894,0.9298642147671092,0.08628883361816406,0.12469863891601562,0.0822299076960637,0.0002541281960227273,0.7818181818181819,0,0.0,-0.07699012756347656,0.41202545166015625
0.25,alpha0.25,55,26.14432889764959,0.9278937556526877,0.039542284878817474,0.16533851623535156,0.028436954204852764,-0.0017163309183987705,0.509090909090909,8,87.27272727272727,-0.40811729431152344,0.7814445495605469
0.375,WD0375,55,25.97118682861328,0.9236240614544261,-0.1335997841574929,0.12230990483210637,-0.1558073483980619,-0.005986025116660378,0.3090909090909091,26,283.6363636363636,-0.9566249847412109,1.092935562133789
0.5,alpha0.5,55,25.688676209883255,0.9170057491822676,-0.41611040288751777,0.00044881380521334137,-0.45409613389235276,-0.012604337388818915,0.16363636363636364,38,414.54545454545456,-1.6436653137207031,1.330963134765625
0.75,alpha0.75,55,24.885891619595615,0.8968414241617376,-1.2188949931751598,-0.4458496387188251,-1.3000626197228065,-0.03276866240934892,0.05454545454545454,48,523.6363636363636,-3.1901168823242188,1.535675048828125
1.0,WDMamba,55,23.906906925548206,0.8684272462671453,-2.1978796872225677,-1.0940447587233324,-2.32789186330942,-0.06118284030394121,0.05454545454545454,52,567.2727272727273,-4.730537414550781,1.3450736999511719
