alpha,label,count,mean_PSNR,mean_SSIM,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,mean_dSSIM,positive_ratio,severe_loss_count,severe_loss_per_600,worst_dPSNR,best_dPSNR
0.0,A0,1000,34.14550157737732,0.989619068801403,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.125,alpha0.125,1000,34.67527652549744,0.9906085477471351,0.5297749481201172,0.5053039169311524,0.5078146057128906,0.0009894789457321168,0.957,11,6.6,-1.2279167175292969,2.0623226165771484
0.25,alpha0.25,1000,35.16375872135163,0.9914327064752578,1.0182571439743042,1.0174555320739747,0.9150218200683594,0.001813637673854828,0.949,25,15.0,-2.6196327209472656,4.676824569702148
0.375,WD0375,1000,35.58759136581421,0.992090002477169,1.4420897884368897,1.5297669982910156,1.1825294494628906,0.002470933675765991,0.938,43,25.799999999999997,-3.9855880737304688,8.066835403442383
0.5,alpha0.5,1000,35.920459917068484,0.9925777691006661,1.7749583396911621,2.030726890563965,1.2790343933105468,0.0029587002992630005,0.913,59,35.4,-5.255130767822266,11.661951065063477
0.75,alpha0.75,1000,36.20313883018493,0.9930264474153518,2.0576372528076172,2.8884365539550783,0.9399847717285156,0.003407378613948822,0.838,127,76.2,-7.464008331298828,12.949045181274414
1.0,WDMamba,1000,35.91714707756042,0.9927112212181092,1.7716455001831055,3.314756591796875,0.05242898559570312,0.0030921524167060854,0.729,240,144.0,-9.413492202758789,12.649751663208008
