alpha,label,count,mean_PSNR,mean_SSIM,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,mean_dSSIM,positive_ratio,severe_loss_count,severe_loss_per_600,worst_dPSNR,best_dPSNR
0.0,A0,500,42.72141585540771,0.9966689692735672,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.125,alpha0.125,500,41.94553633880615,0.9962955648899079,-0.7758795166015625,-0.4928348388671875,-1.0661744995117188,-0.0003734043836593628,0.17,381,457.2,-4.361644744873047,1.7874641418457031
0.25,alpha0.25,500,40.188399742126464,0.9952788444757461,-2.53301611328125,-1.991033935546875,-3.0993063049316407,-0.0013901247978210449,0.014,482,578.4,-8.731742858886719,0.8815345764160156
0.375,WD0375,500,38.29443228530884,0.9937083634138107,-4.426983570098877,-3.7664808197021484,-5.138074462890625,-0.00296060585975647,0.0,500,600.0,-11.842792510986328,-0.6833000183105469
0.5,alpha0.5,500,36.556699531555175,0.9916225076913834,-6.164716323852539,-5.456131927490234,-6.945267333984375,-0.005046461582183838,0.0,500,600.0,-14.176322937011719,-1.8566207885742188
0.75,alpha0.75,500,33.677444576263426,0.9859999306201935,-9.043971279144287,-8.308422103881837,-9.876055953979492,-0.010669038653373718,0.0,500,600.0,-17.564579010009766,-4.332157135009766
1.0,WDMamba,500,31.427588512420655,0.9785637743473053,-11.293827342987061,-10.555791763305663,-12.139905197143555,-0.018105194926261902,0.0,500,600.0,-20.009464263916016,-6.5234527587890625
