alpha,label,count,mean_PSNR,mean_SSIM,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,mean_dSSIM,positive_ratio,severe_loss_count,severe_loss_per_600,worst_dPSNR,best_dPSNR
0.0,A0,45,27.364982181125217,0.9458766274982029,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.125,alpha0.125,45,27.454172219170463,0.9463757713635762,0.0891900380452474,0.0780029296875,0.13716385581276633,0.0004991438653733995,0.7777777777777778,0,0.0,-0.08169937133789062,0.2792835235595703
0.25,alpha0.25,45,27.43483000861274,0.9457446853319804,0.0698478274875217,0.07932784340598366,0.14577813581986862,-0.00013194216622246637,0.6888888888888889,4,53.333333333333336,-0.3266868591308594,0.49054527282714844
0.375,WD0375,45,27.3106078253852,0.9440098722775777,-0.05437435574001736,0.0043551705100319605,0.029041290283203125,-0.0018667552206251357,0.4444444444444444,14,186.66666666666666,-0.8845920562744141,0.6226596832275391
0.5,alpha0.5,45,27.093490642971464,0.9412083122465346,-0.2714915381537543,-0.14266985112970526,-0.19639223272150214,-0.004668315251668294,0.2,27,360.0,-1.60223388671875,0.6680164337158203
0.75,alpha0.75,45,26.44609875149197,0.9325782312287225,-0.9188834296332465,-0.6213465603915128,-0.8861987374045632,-0.013298396269480388,0.13333333333333333,38,506.6666666666667,-3.2308216094970703,0.5196685791015625
1.0,WDMamba,45,25.62050938076443,0.9202303833431668,-1.7444728003607857,-1.2800891182639382,-1.7666112726384944,-0.02564624415503608,0.06666666666666667,42,560.0,-5.073143005371094,0.3628082275390625
